@SampleID:10
@Version:0.9.2
@Ranks:acellular root,cellular root,other entries|realm,domain|kingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU	HOST
2845460	species	10239|2731341|2731360|2731618|2731619|||2843441|2845460	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Questintvirus|Questintvirus Q54	0.0891			
29363	species	131567|2|1783272|1239|186801|186802|31979|1485|29363	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium paraputrificum	0.0868			
2843966	species	10239|2731341|2731360|2731618|2731619|||2843367|2843966	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Colneyvirus|Colneyvirus CDKM15	0.0807			
1582152	species	10239|2731341|2731360|2731618|2731619||||1582152	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||||Clostridium phage phiCD211	0.0802			
2169921	species	10239|2731341|2731360|2731618|2731619|||2842814|2169921	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Kwaitsingvirus|Kwaitsingvirus HK446	0.0727			
2955996	species	10239|2731341|2731360|2731618|2731619|1978007|2942964|2948767|2955996	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Intestiviridae|Jahgtovirus|Jahgtovirus intestinalis	0.0687			
84112	species	131567|2|1783272|201174|84998|1643822|1643826|84111|84112	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella|Eggerthella lenta	0.0679			
2844803	species	10239|2731342|2732092|3412625|3412723|3420546|687329|227307|2844803	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae|Gyrovirus|Gyrovirus homsa2	0.0641			
3428526	species	10239|2731341|2731360|2731618|2731619||2731690|2732017|3428526	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Demerecviridae|Epseptimavirus|Epseptimavirus ev26175I	0.0635			
2011088	species	10239|2731342|2732090|2732410|2732411|2732094|10860|2732876|2011088	Viruses|Monodnaviria|Loebvirae|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae|Psecadovirus|Psecadovirus PSH1	0.0594			
3428289	species	10239|2731341|2731360|2731618|2731619|||1623289|3428289	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Dhillonvirus|Dhillonvirus WF1	0.0558			
1502	species	131567|2|1783272|1239|186801|186802|31979|1485|1502	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium perfringens	0.0546			
3060525	species	10239|2731341|2731360|2731618|2731619||2946167|140410|3060525	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Peduoviridae|Peduovirus|Peduovirus 11W	0.0513			
2956060	species	10239|2731341|2731360|2731618|2731619|1978007|2942963|2948785|2956060	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Crevaviridae|Kingevirus|Kingevirus communis	0.0510			
2843978	species	10239|2731341|2731360|2731618|2731619|||2843455|2843978	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Sherbrookevirus|Sherbrookevirus CDHM13	0.0486			
28026	species	131567|2|1783272|201174|1760|85004|31953|1678|28026	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium pseudocatenulatum	0.0464			
2560544	species	10239|2731341|2731360|2731618|2731619|3420545|2946170|1985328|2560544	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Slopekvirus|Klebsiella virus PMBT1	0.0453			
1945585	species	10239|2731342|2732091|2732412|2732413|2732414|10841|1910951|1945585	Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Alphatrevirus|Alphatrevirus NC28	0.0431			
3060806	species	10239|2731341|2731360|2731618|2731619||3044459|3044857|3060806	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Arenbergviridae|Wroclawvirus|Wroclawvirus PA5oct	0.0415			
3432189	species	10239|2559587|2732396|2732408|2732506|464095|12058|1511804|3432189	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Rosavirus|Rosavirus acaliforni	0.0370			
907	species	131567|2|1783272|1239|909932|1843489|31977|906|907	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera|Megasphaera elsdenii	0.0365			
328812	species	131567|2|3379134|976|200643|171549|2005525|375288|328812	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides goldsteinii	0.0345			
2844220	species	10239|2731341|2731360|2731618|2731619||2946167|140410|2844220	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Peduoviridae|Peduovirus|Peduovirus P24B2	0.0325			
1930509	species	10239|2559587|2732396|2732408|2732506|464095||2219049|1930509	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales||Husavirus|Husavirus sp.	0.0314			
2844173	species	10239|2731341|2731360|2731618|2731619|||2843387|2844173	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Glaedevirus|Glaedevirus gv2H10	0.0311			
1686	species	131567|2|1783272|201174|1760|85004|31953|1678|1686	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium catenulatum	0.0303			
3431622	species	10239|2731341|2731360|2731618|2731619|||2733124|3431622	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Phapecoctavirus|Phapecoctavirus ESCO5	0.0295			
817	species	131567|2|3379134|976|200643|171549|815|816|817	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides fragilis	0.0294			
864178	species	10239|2731341|2731360|2731618|2731619||||864178	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||||Clostridium phage phiCD6356	0.0293			
2956046	species	10239|2731341|2731360|2731618|2731619|1978007|2942965|2942979|2956046	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Steigviridae|Kahnovirus|Kahnovirus copri	0.0285			
2107999	species	131567|2|1783272|1239|91061|186826|33958|1578|2107999	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus paragasseri	0.0283			
1496	species	131567|2|1783272|1239|186801|3082720|186804|1870884|1496	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Peptostreptococcales|Peptostreptococcaceae|Clostridioides|Clostridioides difficile	0.0280			
1911010	species	10239|2731341|2731360|2731618|2731619||3424670|1910992|1911010	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Sarkviridae|Kagunavirus|Kagunavirus K1H	0.0273			
1196081	species	131567|2759|4751|4890|147545|5042|28568|5094|1196081	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Trichocomaceae|Talaromyces|Talaromyces amestolkiae	0.0267			
10677	species	10239|2731341|2731360|2731618|2731619|||186777|10677	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Muvirus|Muvirus mu	0.0239			
2292192	species	131567|2|3379134|976|200643|171549|815|816|2292192	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides sp. AF16-49	0.0232			
29252	species	10239|2731341|2731360|2731618|2731619||2946167|2732978|29252	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Peduoviridae|Eganvirus|Eganvirus ev186	0.0225			
1985342	species	10239|2731341|2731360|2731618|2731619|3420545|2946170|1985329|1985342	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Moonvirus|Moonvirus moon	0.0206			
1985305	species	10239|2731341|2731360|2731618|2731619||3424631|1985303|1985305	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Andersonviridae|Mooglevirus|Mooglevirus mordin	0.0185			
626940	species	131567|2|1783272|1239|909932|1843488|909930|33024|626940	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Acidaminococcales|Acidaminococcaceae|Phascolarctobacterium|Phascolarctobacterium succinatutens	0.0178			
210	species	131567|2|3379134|29547|3031852|213849|72293|209|210	cellular organisms|Bacteria|Pseudomonadati|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter pylori	0.0153			
2981791	species	131567|2|1783272|1239|909932|1843489|31977|906|2981791	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera|Megasphaera butyrica	0.0147			
2109687	species	131567|2|1783272|1239|186801|186802|216572|459786|2109687	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter|Oscillibacter sp. PEA192	0.0141			
682382	species	10239|2559587|2732396|2732408|2732507|2732551|39733|249588|682382	Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|HMO Astrovirus A	0.0136			
623	species	131567|2|3379134|1224|1236|91347|543|620|623	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella|Shigella flexneri	0.0136			
208224	species	131567|2|3379134|1224|1236|91347|543|547|208224	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Enterobacter|Enterobacter kobei	0.0133			
2845899	species	10239|2731342|2732092|2732416|2732423|2732537|2169574|2169663|2845899	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cremevirales|Smacoviridae|Porprismacovirus|Porprismacovirus humas3	0.0128			
103621	species	131567|2|1783272|201174|1760|2037|2049|1654|103621	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Actinomycetales|Actinomycetaceae|Actinomyces|Actinomyces urogenitalis	0.0128			
208479	species	131567|2|1783272|1239|186801|3085636|186803|2719313|208479	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Enterocloster|Enterocloster bolteae	0.0122			
1737424	species	131567|2|1783272|1239|186801|3085636|186803|572511|1737424	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Blautia|Blautia massiliensis (ex Durand et al. 2017)	0.0119			
2844805	species	10239|2731342|2732092|3412625|3412723|3420546|687329|227307|2844805	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae|Gyrovirus|Gyrovirus homsa4	0.0118			
2845471	species	10239|2731341|2731360|2731618|2731619|||186532|2845471	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Ceduovirus|Ceduovirus blBB94p4	0.0110			
5061	species	131567|2759|4751|4890|147545|5042|1131492|5052|5061	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Aspergillus|Aspergillus niger	0.0100			
1297617	species	131567|2|1783272|1239|186801|186802||1392389|1297617	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales||Intestinimonas|Intestinimonas butyriciproducens	0.0099			
624	species	131567|2|3379134|1224|1236|91347|543|620|624	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella|Shigella sonnei	0.0091			
562	species	131567|2|3379134|1224|1236|91347|543|561|562	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.0090			
2518605	species	131567|2|3379134|976|200643|171549|171552|2974251|2518605	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Segatella|Segatella hominis	0.0088			
60172	species	131567|2759|4751|4890|147545|5042|1131492|5073|60172	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae|Penicillium|Penicillium solitum	0.0083			
5480	species	131567|2759|4751|4890|3239874|2916678|766764|5475|5480	cellular organisms|Eukaryota|Fungi|Ascomycota|Pichiomycetes|Serinales|Debaryomycetaceae|Candida|Candida parapsilosis	0.0083			
3047960	species	10239|2731342|2732092|2732416|2732423|2732536|39724|742914|3047960	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|Cyclovirus|Cyclovirus insaan	0.0082			
2986997	species	131567|2|1783272|1239|186801|3082720|186804|1501226|2986997	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Peptostreptococcales|Peptostreptococcaceae|Romboutsia|Romboutsia sp. 1001216sp1	0.0082			
1715158	species	131567|2|1783272|1239|91061|1385|90964|1279|1715158	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus sp. HMSC060A04	0.0079			
1680	species	131567|2|1783272|201174|1760|85004|31953|1678|1680	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium adolescentis	0.0068			
1352	species	131567|2|1783272|1239|91061|186826|81852|1350|1352	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecium	0.0060			
638849	species	131567|2|3384194|508458|649775|649776|3029088|638847|638849	cellular organisms|Bacteria|Thermotogati|Synergistota|Synergistia|Synergistales|Dethiosulfovibrionaceae|Pyramidobacter|Pyramidobacter piscolens	0.0060			
2873413	species	10239|2731341|2731360|2731618|2731619||3424670|1910992|2873413	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Sarkviridae|Kagunavirus|Escherichia phage 26	0.0056			
573	species	131567|2|3379134|1224|1236|91347|543|570|573	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella|Klebsiella pneumoniae	0.0056			
3060080	species	10239|2731341|2731360|2731618|2731619||3424663|680277|3060080	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Mktvariviridae|Kuravirus|Kuravirus MN05	0.0054			
1547	species	131567|2|1783272|1239|526524|526525|2810280|3025755|1547	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae|Thomasclavelia|Thomasclavelia ramosa	0.0054			
3432351	species	10239|2731341|2731360|2731618|2731619|||1921544|3432351	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Septimatrevirus|Septimatrevirus DLP1	0.0052			
1985722	species	10239|2731341|2731360|2731618|2731619|3420540|3424637|1985720|1985722	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales|Autotranscriptaviridae|Przondovirus|Przondovirus K30	0.0048			
3430121	species	10239|2731341|2731360|2731618|2731619|3420540|3424637|2732686|3430121	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales|Autotranscriptaviridae|Kayfunavirus|Kayfunavirus 101118UKE1	0.0048			
3428265	species	10239|2731341|2731360|2731618|2731619|||1623289|3428265	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Dhillonvirus|Dhillonvirus JLBYU37	0.0046			
169435	species	131567|2|1783272|1239|186801|186802|216572|244127|169435	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Anaerotruncus|Anaerotruncus colihominis	0.0045			
29466	species	131567|2|1783272|1239|909932|1843489|31977|29465|29466	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella parvula	0.0042			
1468449	species	131567|2|1783272|1239|526524|526525|128827|61170|1468449	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania|Holdemania massiliensis	0.0039			
100886	species	131567|2|1783272|1239|526524|526525|2810280|135858|100886	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae|Catenibacterium|Catenibacterium mitsuokai	0.0037			
1353	species	131567|2|1783272|1239|91061|186826|81852|1350|1353	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus gallinarum	0.0026			
1358	species	131567|2|1783272|1239|91061|186826|1300|1357|1358	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus|Lactococcus lactis	0.0026			
225992	species	131567|2|3379134|1224|28216|80840|80864|283|225992	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas|Comamonas kerstersii	0.0026			
5537	species	131567|2759|4751|5204|162481|231213|1799696|5533|5537	cellular organisms|Eukaryota|Fungi|Basidiomycota|Microbotryomycetes|Sporidiobolales|Sporidiobolaceae|Rhodotorula|Rhodotorula mucilaginosa	0.0026			
1913685	species	10239|2731341|2731360|2731618|2731619|3420545|2946170|1913654|1913685	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Gaprivervirus|Gaprivervirus vr25	0.0025			
3431624	species	10239|2731341|2731360|2731618|2731619|||2733124|3431624	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Phapecoctavirus|Phapecoctavirus schickermooser	0.0025			
154288	species	131567|2|1783272|1239|526524|526525|2810281|191303|154288	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales|Turicibacteraceae|Turicibacter|Turicibacter sanguinis	0.0023			
100884	species	131567|2|1783272|1239|526524|526525|2810280|100883|100884	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae|Coprobacillus|Coprobacillus cateniformis	0.0023			
820	species	131567|2|3379134|976|200643|171549|815|816|820	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides uniformis	0.0023			
39803	species	10239|2559587|2732396|2732407|2842243|2842247|2842319|2842995|39803	Viruses|Riboviria|Orthornavirae|Lenarviricota|Leviviricetes|Norzivirales|Fiersviridae|Qubevirus|Qubevirus durum	0.0023			
10752	species	10239|2731341|2731360|2731618|2731619||2842329|371730|10752	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Schitoviridae|Enquatrovirus|Enquatrovirus N4	0.0022			
216816	species	131567|2|1783272|201174|1760|85004|31953|1678|216816	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium longum	0.0020			
2943492	species	131567|2|1783272|201174|1760|85007|1653|1716|2943492	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Mycobacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium intestinale	0.0020			
1354	species	131567|2|1783272|1239|91061|186826|81852|1350|1354	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus hirae	0.0017			
188913	species	131567|2|3384189|32066|203490|203491|203492|180162|188913	cellular organisms|Bacteria|Fusobacteriati|Fusobacteriota|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Cetobacterium|Cetobacterium somerae	0.0014			
45851	species	131567|2|1783272|1239|186801|3085636|186803|3342669|45851	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Eshraghiella|Eshraghiella crossota	0.0014			
5970	species	131567|2759|4751|4890|147545|34395|43219|5583|5970	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae|Exophiala|Exophiala dermatitidis	0.0012			
1318	species	131567|2|1783272|1239|91061|186826|1300|1301|1318	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus parasanguinis	0.0011			
357276	species	131567|2|3379134|976|200643|171549|815|909656|357276	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Phocaeicola dorei	0.0011			
1245	species	131567|2|1783272|1239|91061|186826|33958|1243|1245	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Leuconostoc|Leuconostoc mesenteroides	0.0011			
29391	species	131567|2|1783272|1239|91061|1385|539738|1378|29391	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Bacillales|Gemellaceae|Gemella|Gemella morbillorum	0.0011			
2585118	species	131567|2|3379134|976|200643|171549|171550|239759|2585118	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes communis	0.0011			
1632	species	131567|2|1783272|1239|91061|186826|33958|2742598|1632	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus|Limosilactobacillus oris	0.0011			
9606	species	131567|2759|33208|7711|40674|9443|9604|9605|9606	cellular organisms|Eukaryota|Metazoa|Chordata|Mammalia|Primates|Hominidae|Homo|Homo sapiens	0.0010			
3427486	species	10239|2731341|2731360|2731618|2731619|||3152907|3427486	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Bimevirus|Bimevirus IME346	0.0010			
1681	species	131567|2|1783272|201174|1760|85004|31953|1678|1681	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium bifidum	0.0008			
851	species	131567|2|3384189|32066|203490|203491|203492|848|851	cellular organisms|Bacteria|Fusobacteriati|Fusobacteriota|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium|Fusobacterium nucleatum	0.0008			
1472765	species	131567|2|1783272|1239|1737404|1737405|1570339|162289|1472765	cellular organisms|Bacteria|Bacillati|Bacillota|Tissierellia|Tissierellales|Peptoniphilaceae|Peptoniphilus|Peptoniphilus obesi	0.0008			
1472764	species	131567|2|1783272|1239|1737404|||1472763|1472764	cellular organisms|Bacteria|Bacillati|Bacillota|Tissierellia|||Kallipyga|Kallipyga massiliensis	0.0008			
3079302	species	131567|2|1783272|1239|186801|186802|3085642|2048137|3079302	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Butyricicoccaceae|Agathobaculum|Agathobaculum sp. NTUH-O15-33	0.0008			
47715	species	131567|2|1783272|1239|91061|186826|33958|2759736|47715	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Lacticaseibacillus|Lacticaseibacillus rhamnosus	0.0008			
469591	species	131567|2|3379134|976|200643|171549|2005525|375288|469591	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides sp. 20_3	0.0008			
3143191	species	131567|2|1783272|1239|91061|186826|33958|2767887|3143191	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus|Ligilactobacillus sp. RTP31139st1_D10_RTP31139_211217	0.0008			
2844226	species	10239|2731341|2731360|2731618|2731619|3420545|2946170|10663|2844226	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Tequatrovirus|Tequatrovirus pe37	0.0006			
487174	species	131567|2|3379134|976|200643|171549|2005519|397864|487174	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella|Barnesiella intestinihominis	0.0005			
821	species	131567|2|3379134|976|200643|171549|815|909656|821	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Phocaeicola vulgatus	0.0005			
1260	species	131567|2|1783272|1239|1737404|1737405|1570339|150022|1260	cellular organisms|Bacteria|Bacillati|Bacillota|Tissierellia|Tissierellales|Peptoniphilaceae|Finegoldia|Finegoldia magna	0.0005			
1623	species	131567|2|1783272|1239|91061|186826|33958|2767887|1623	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus|Ligilactobacillus ruminis	0.0005			
2845163	species	10239|2731341|2731360|2731618|2731619|||1623305|2845163	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv3R16S	0.0004			
2733982	species	10239|2731341|2731360|2731618|2731619||2731690|187218|2733982	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Demerecviridae|Tequintavirus|Tequintavirus DT5712	0.0004			
57706	species	131567|2|3379134|1224|1236|91347|543|544|57706	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter|Citrobacter braakii	0.0003			
292800	species	131567|2|1783272|1239|186801|186802|216572|946234|292800	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Flavonifractor|Flavonifractor plautii	0.0003			
39483	species	131567|2|1783272|1239|526524|526525|128827|1573534|39483	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea|Faecalitalea cylindroides	0.0003			
1596	species	131567|2|1783272|1239|91061|186826|33958|1578|1596	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus gasseri	0.0003			
1311	species	131567|2|1783272|1239|91061|186826|1300|1301|1311	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus agalactiae	0.0003			
53442	species	131567|2|1783272|1239|186801|186802|186806|1730|53442	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Eubacteriaceae|Eubacterium|Eubacterium callanderi	0.0003			
2742601	species	131567|2|1783272|1239|91061|186826|33958|2742598|2742601	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus|Limosilactobacillus portuensis	0.0003			
1328	species	131567|2|1783272|1239|91061|186826|1300|1301|1328	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus anginosus	0.0003			
